,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
20017,538003,22847,BREAD BIN DINER STYLE IVORY,8,12/9/2010 12:05,14.95,12429.0,Denmark
20018,538003,22779,WOODEN OWLS LIGHT GARLAND ,48,12/9/2010 12:05,3.75,12429.0,Denmark
20019,538003,22331,WOODLAND PARTY BAG + STICKER SET,8,12/9/2010 12:05,1.65,12429.0,Denmark
20020,538003,22365,DOORMAT RESPECTABLE HOUSE,2,12/9/2010 12:05,7.95,12429.0,Denmark
20021,538003,22673,FRENCH GARDEN SIGN BLUE METAL,24,12/9/2010 12:05,1.25,12429.0,Denmark
20022,538003,22670,FRENCH WC SIGN BLUE METAL,36,12/9/2010 12:05,1.25,12429.0,Denmark
20023,538003,82582,AREA PATROLLED METAL SIGN,24,12/9/2010 12:05,2.1,12429.0,Denmark
20024,538003,22727,ALARM CLOCK BAKELIKE RED ,12,12/9/2010 12:05,3.75,12429.0,Denmark
20025,538003,22728,ALARM CLOCK BAKELIKE PINK,12,12/9/2010 12:05,3.75,12429.0,Denmark
20026,538003,22729,ALARM CLOCK BAKELIKE ORANGE,12,12/9/2010 12:05,3.75,12429.0,Denmark
20027,538003,22726,ALARM CLOCK BAKELIKE GREEN,12,12/9/2010 12:05,3.75,12429.0,Denmark
20028,538003,22730,ALARM CLOCK BAKELIKE IVORY,20,12/9/2010 12:05,3.75,12429.0,Denmark
20029,538003,22567,20 DOLLY PEGS RETROSPOT,12,12/9/2010 12:05,1.25,12429.0,Denmark
20030,538003,22951,60 CAKE CASES DOLLY GIRL DESIGN,120,12/9/2010 12:05,0.42,12429.0,Denmark
20031,538003,22956,36 FOIL HEART CAKE CASES,48,12/9/2010 12:05,1.85,12429.0,Denmark
20032,538003,22752,SET 7 BABUSHKA NESTING BOXES,24,12/9/2010 12:05,7.65,12429.0,Denmark
20033,538003,22914,BLUE COAT RACK PARIS FASHION,6,12/9/2010 12:05,4.95,12429.0,Denmark
20034,538003,22960,JAM MAKING SET WITH JARS,6,12/9/2010 12:05,4.25,12429.0,Denmark
20035,538003,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,12/9/2010 12:05,2.95,12429.0,Denmark
20036,538003,POST,POSTAGE,8,12/9/2010 12:05,18.0,12429.0,Denmark
91832,544157,22659,LUNCH BOX I LOVE LONDON,12,2/16/2011 12:46,1.95,12372.0,Denmark
91833,544157,22630,DOLLY GIRL LUNCH BOX,12,2/16/2011 12:46,1.95,12372.0,Denmark
91834,544157,22631,CIRCUS PARADE LUNCH BOX ,12,2/16/2011 12:46,1.95,12372.0,Denmark
91835,544157,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,2/16/2011 12:46,2.95,12372.0,Denmark
91836,544157,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2/16/2011 12:46,2.95,12372.0,Denmark
91837,544157,21452,TOADSTOOL MONEY BOX,6,2/16/2011 12:46,2.95,12372.0,Denmark
91838,544157,22539,MINI JIGSAW DOLLY GIRL,24,2/16/2011 12:46,0.42,12372.0,Denmark
91839,544157,22538,MINI JIGSAW GO TO THE FAIR,24,2/16/2011 12:46,0.42,12372.0,Denmark
