,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1404,536540,22968,ROSE COTTAGE KEEPSAKE BOX ,4,12/1/2010 14:05,9.95,14911.0,EIRE
1405,536540,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,6,12/1/2010 14:05,2.95,14911.0,EIRE
1406,536540,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",6,12/1/2010 14:05,2.55,14911.0,EIRE
1407,536540,22355,CHARLOTTE BAG SUKI DESIGN,50,12/1/2010 14:05,0.85,14911.0,EIRE
1408,536540,21579,LOLITA  DESIGN  COTTON TOTE BAG,6,12/1/2010 14:05,2.25,14911.0,EIRE
1409,536540,21576,LETS GO SHOPPING COTTON TOTE BAG,6,12/1/2010 14:05,2.25,14911.0,EIRE
1410,536540,22147,FELTCRAFT BUTTERFLY HEARTS,12,12/1/2010 14:05,1.45,14911.0,EIRE
1411,536540,22150,3 STRIPEY MICE FELTCRAFT,12,12/1/2010 14:05,1.95,14911.0,EIRE
1412,536540,22492,MINI PAINT SET VINTAGE ,36,12/1/2010 14:05,0.65,14911.0,EIRE
1413,536540,22493,PAINT YOUR OWN CANVAS SET,24,12/1/2010 14:05,1.65,14911.0,EIRE
1414,536540,21833,CAMOUFLAGE LED TORCH,12,12/1/2010 14:05,1.69,14911.0,EIRE
1415,536540,85135B,BLUE DRAGONFLY HELICOPTER,2,12/1/2010 14:05,7.95,14911.0,EIRE
1416,536540,85136A,YELLOW SHARK HELICOPTER,2,12/1/2010 14:05,7.95,14911.0,EIRE
1417,536540,85136C,RED SHARK HELICOPTER,2,12/1/2010 14:05,7.95,14911.0,EIRE
1418,536540,21055,TOOL BOX SOFT TOY ,4,12/1/2010 14:05,8.95,14911.0,EIRE
1419,536540,21056,DOCTOR'S BAG SOFT TOY,4,12/1/2010 14:05,8.95,14911.0,EIRE
1420,536540,21889,WOODEN BOX OF DOMINOES,24,12/1/2010 14:05,1.25,14911.0,EIRE
1421,536540,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12/1/2010 14:05,1.25,14911.0,EIRE
1422,536540,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,12/1/2010 14:05,9.95,14911.0,EIRE
1423,536540,C2,CARRIAGE,1,12/1/2010 14:05,50.0,14911.0,EIRE
1424,536541,21915,RED  HARMONICA IN BOX ,12,12/1/2010 14:05,1.25,14911.0,EIRE
4785,536803,22113,GREY HEART HOT WATER BOTTLE,6,12/2/2010 16:33,3.75,14911.0,EIRE
4884,C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,12/2/2010 17:08,4.25,14156.0,EIRE
4885,C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,12/2/2010 17:08,3.25,14156.0,EIRE
6353,536885,21832,CHOCOLATE CALCULATOR,24,12/3/2010 11:42,1.65,,EIRE
6354,536885,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,12/3/2010 11:42,6.75,,EIRE
6355,536885,48184,DOORMAT ENGLISH ROSE ,10,12/3/2010 11:42,6.75,,EIRE
6356,536885,22837,HOT WATER BOTTLE BABUSHKA ,24,12/3/2010 11:42,4.65,,EIRE
6357,536885,22632,HAND WARMER RED RETROSPOT,12,12/3/2010 11:42,2.1,,EIRE
6358,536885,22834,HAND WARMER BABUSHKA DESIGN,12,12/3/2010 11:42,2.1,,EIRE
6359,536885,22867,HAND WARMER BIRD DESIGN,12,12/3/2010 11:42,2.1,,EIRE
6360,536885,22865,HAND WARMER OWL DESIGN,12,12/3/2010 11:42,2.1,,EIRE
6361,536885,22866,HAND WARMER SCOTTY DOG DESIGN,12,12/3/2010 11:42,2.1,,EIRE
6362,536885,22312,OFFICE MUG WARMER POLKADOT,36,12/3/2010 11:42,2.95,,EIRE
6363,536885,51014C,"FEATHER PEN,COAL BLACK",36,12/3/2010 11:42,0.85,,EIRE
6364,536890,17090A,LAVENDER INCENSE 40 CONES IN TIN,36,12/3/2010 11:48,0.85,14156.0,EIRE
6365,536890,17084R,ASSORTED INCENSE PACK,1440,12/3/2010 11:48,0.16,14156.0,EIRE
6366,536890,17091J,VANILLA INCENSE IN TIN,72,12/3/2010 11:48,0.85,14156.0,EIRE
6677,536975,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,1,12/3/2010 14:04,16.95,14911.0,EIRE
6678,536975,22948,METAL DECORATION NAUGHTY CHILDREN ,24,12/3/2010 14:04,0.85,14911.0,EIRE
6679,536975,22945,CHRISTMAS METAL TAGS ASSORTED ,36,12/3/2010 14:04,0.85,14911.0,EIRE
6680,536975,22944,CHRISTMAS METAL POSTCARD WITH BELLS,24,12/3/2010 14:04,1.25,14911.0,EIRE
6681,536975,22158,3 HEARTS HANGING DECORATION RUSTIC,8,12/3/2010 14:04,2.95,14911.0,EIRE
6682,536975,22572,ROCKING HORSE GREEN CHRISTMAS ,12,12/3/2010 14:04,0.85,14911.0,EIRE
6683,536975,22571,ROCKING HORSE RED CHRISTMAS ,12,12/3/2010 14:04,0.85,14911.0,EIRE
6684,536975,22246,"GARLAND, MAGIC GARDEN 1.8M",12,12/3/2010 14:04,1.95,14911.0,EIRE
6685,536975,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,12/3/2010 14:04,2.95,14911.0,EIRE
6686,536975,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,12/3/2010 14:04,2.95,14911.0,EIRE
6687,536975,20668,DISCO BALL CHRISTMAS DECORATION,48,12/3/2010 14:04,0.12,14911.0,EIRE
6688,536975,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24,12/3/2010 14:04,0.85,14911.0,EIRE
6689,536975,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/3/2010 14:04,0.55,14911.0,EIRE
6690,536975,21815,STAR  T-LIGHT HOLDER ,24,12/3/2010 14:04,1.45,14911.0,EIRE
6691,536975,35967,FOLK ART METAL STAR T-LIGHT HOLDER,24,12/3/2010 14:04,0.38,14911.0,EIRE
6692,536975,22049,WRAP CHRISTMAS SCREEN PRINT,50,12/3/2010 14:04,0.42,14911.0,EIRE
6693,536975,85032D,YULETIDE IMAGES GIFT WRAP SET,12,12/3/2010 14:04,2.1,14911.0,EIRE
6694,536975,22752,SET 7 BABUSHKA NESTING BOXES,6,12/3/2010 14:04,8.5,14911.0,EIRE
6695,536975,22075,6 RIBBONS ELEGANT CHRISTMAS ,12,12/3/2010 14:04,1.65,14911.0,EIRE
6696,536975,22585,PACK OF 6 BIRDY GIFT TAGS,12,12/3/2010 14:04,1.25,14911.0,EIRE
6697,536975,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,12/3/2010 14:04,8.5,14911.0,EIRE
6698,536975,22845,VINTAGE CREAM CAT FOOD CONTAINER,4,12/3/2010 14:04,6.35,14911.0,EIRE
6699,536975,22846,BREAD BIN DINER STYLE RED ,2,12/3/2010 14:04,16.95,14911.0,EIRE
6700,536975,22847,BREAD BIN DINER STYLE IVORY,2,12/3/2010 14:04,16.95,14911.0,EIRE
6701,536975,22848,BREAD BIN DINER STYLE PINK,2,12/3/2010 14:04,16.95,14911.0,EIRE
6702,536975,22849,BREAD BIN DINER STYLE MINT,2,12/3/2010 14:04,16.95,14911.0,EIRE
6703,536975,22946,WOODEN ADVENT CALENDAR CREAM,2,12/3/2010 14:04,16.95,14911.0,EIRE
6704,536975,22947,WOODEN ADVENT CALENDAR RED,2,12/3/2010 14:04,16.95,14911.0,EIRE
6705,536975,22560,TRADITIONAL MODELLING CLAY,24,12/3/2010 14:04,1.25,14911.0,EIRE
6706,536975,21912,VINTAGE SNAKES & LADDERS,4,12/3/2010 14:04,3.75,14911.0,EIRE
6707,536975,22549,PICTURE DOMINOES,12,12/3/2010 14:04,1.45,14911.0,EIRE
6708,536975,21914,BLUE HARMONICA IN BOX ,12,12/3/2010 14:04,1.25,14911.0,EIRE
6709,536975,21888,BINGO SET,4,12/3/2010 14:04,3.75,14911.0,EIRE
6710,536975,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,12/3/2010 14:04,4.95,14911.0,EIRE
6711,536975,21064,BOOM BOX SPEAKER BOYS,6,12/3/2010 14:04,5.95,14911.0,EIRE
6712,536975,84558A,3D DOG PICTURE PLAYING CARDS,6,12/3/2010 14:04,2.95,14911.0,EIRE
6713,536975,85227,SET OF 6 3D KIT CARDS FOR KIDS,12,12/3/2010 14:04,0.85,14911.0,EIRE
6714,536975,22299,PIG KEYRING WITH LIGHT & SOUND ,24,12/3/2010 14:04,1.25,14911.0,EIRE
6715,536975,22180,RETROSPOT LAMP,4,12/3/2010 14:04,9.95,14911.0,EIRE
6716,536975,84849B,FAIRY SOAP SOAP HOLDER,12,12/3/2010 14:04,1.69,14911.0,EIRE
6717,536975,84849A,HELLO SAILOR BLUE SOAP HOLDER,12,12/3/2010 14:04,1.69,14911.0,EIRE
6718,536975,20966,SANDWICH BATH SPONGE,10,12/3/2010 14:04,1.25,14911.0,EIRE
6719,536975,20961,STRAWBERRY BATH SPONGE ,10,12/3/2010 14:04,1.25,14911.0,EIRE
6720,536975,22863,SOAP DISH BROCANTE,6,12/3/2010 14:04,2.95,14911.0,EIRE
6721,536975,22423,REGENCY CAKESTAND 3 TIER,4,12/3/2010 14:04,12.75,14911.0,EIRE
6722,536975,22304,COFFEE MUG BLUE PAISLEY DESIGN,6,12/3/2010 14:04,2.55,14911.0,EIRE
6723,536975,22837,HOT WATER BOTTLE BABUSHKA ,8,12/3/2010 14:04,4.65,14911.0,EIRE
6724,536975,22941,CHRISTMAS LIGHTS 10 REINDEER,12,12/3/2010 14:04,8.5,14911.0,EIRE
6725,536975,22942,CHRISTMAS LIGHTS 10 SANTAS ,10,12/3/2010 14:04,8.5,14911.0,EIRE
6726,536975,22816,CARD MOTORBIKE SANTA,24,12/3/2010 14:04,0.42,14911.0,EIRE
6727,536975,22121,NOEL WOODEN BLOCK LETTERS ,12,12/3/2010 14:04,5.45,14911.0,EIRE
6728,536975,79321,CHILLI LIGHTS,4,12/3/2010 14:04,4.95,14911.0,EIRE
6729,536975,22704,WRAP RED APPLES ,25,12/3/2010 14:04,0.42,14911.0,EIRE
6730,536975,22705,WRAP GREEN PEARS ,25,12/3/2010 14:04,0.42,14911.0,EIRE
6731,536975,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/3/2010 14:04,2.1,14911.0,EIRE
6732,536975,22745,POPPY'S PLAYHOUSE BEDROOM ,6,12/3/2010 14:04,2.1,14911.0,EIRE
6733,536975,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,12/3/2010 14:04,2.1,14911.0,EIRE
6734,536975,22747,POPPY'S PLAYHOUSE BATHROOM,6,12/3/2010 14:04,2.1,14911.0,EIRE
6735,536975,22592,CARDHOLDER HOLLY WREATH METAL,4,12/3/2010 14:04,3.75,14911.0,EIRE
6736,536975,21165,BEWARE OF THE CAT METAL SIGN ,12,12/3/2010 14:04,1.69,14911.0,EIRE
6737,536975,21179,NO JUNK MAIL METAL SIGN,12,12/3/2010 14:04,1.25,14911.0,EIRE
6738,536975,21164,HOME SWEET HOME METAL SIGN ,6,12/3/2010 14:04,2.95,14911.0,EIRE
6739,536975,21484,CHICK GREY HOT WATER BOTTLE,4,12/3/2010 14:04,3.45,14911.0,EIRE
6740,536975,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,12/3/2010 14:04,3.95,14911.0,EIRE
6741,536975,84030E,ENGLISH ROSE HOT WATER BOTTLE,4,12/3/2010 14:04,4.25,14911.0,EIRE
6742,536975,22113,GREY HEART HOT WATER BOTTLE,8,12/3/2010 14:04,3.75,14911.0,EIRE
6743,536975,22112,CHOCOLATE HOT WATER BOTTLE,9,12/3/2010 14:04,4.95,14911.0,EIRE
6744,536975,84559A,3D SHEET OF DOG STICKERS,12,12/3/2010 14:04,0.85,14911.0,EIRE
6745,536975,84559B,3D SHEET OF CAT STICKERS,12,12/3/2010 14:04,0.85,14911.0,EIRE
6746,536975,20981,12 PENCILS TALL TUBE WOODLAND,12,12/3/2010 14:04,0.85,14911.0,EIRE
6747,536975,20982,12 PENCILS TALL TUBE SKULLS,12,12/3/2010 14:04,0.85,14911.0,EIRE
12105,537368,20749,ASSORTED COLOUR MINI CASES,4,12/6/2010 12:40,7.95,14911.0,EIRE
12106,537368,20750,RED RETROSPOT MINI CASES,4,12/6/2010 12:40,7.95,14911.0,EIRE
12107,537368,22776,SWEETHEART CAKESTAND 3 TIER,2,12/6/2010 12:40,9.95,14911.0,EIRE
12108,537368,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/6/2010 12:40,2.95,14911.0,EIRE
12109,537368,22147,FELTCRAFT BUTTERFLY HEARTS,12,12/6/2010 12:40,1.45,14911.0,EIRE
12110,537368,22150,3 STRIPEY MICE FELTCRAFT,6,12/6/2010 12:40,1.95,14911.0,EIRE
12111,537368,22569,FELTCRAFT CUSHION BUTTERFLY,8,12/6/2010 12:40,3.75,14911.0,EIRE
12112,537368,22570,FELTCRAFT CUSHION RABBIT,8,12/6/2010 12:40,3.75,14911.0,EIRE
12113,537368,22568,FELTCRAFT CUSHION OWL,4,12/6/2010 12:40,3.75,14911.0,EIRE
12114,537368,22210,WOOD STAMP SET BEST WISHES,12,12/6/2010 12:40,1.65,14911.0,EIRE
12115,537368,22189,CREAM HEART CARD HOLDER,8,12/6/2010 12:40,3.95,14911.0,EIRE
12116,537368,21648,ASSORTED TUTTI FRUTTI SMALL PURSE,24,12/6/2010 12:40,1.25,14911.0,EIRE
12117,537368,84375,SET OF 20 KIDS COOKIE CUTTERS,12,12/6/2010 12:40,2.1,14911.0,EIRE
12118,537368,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,12/6/2010 12:40,0.65,14911.0,EIRE
12119,537368,C2,CARRIAGE,1,12/6/2010 12:40,50.0,14911.0,EIRE
12433,537378,22697,GREEN REGENCY TEACUP AND SAUCER,12,12/6/2010 13:06,2.95,14911.0,EIRE
12434,537378,22423,REGENCY CAKESTAND 3 TIER,12,12/6/2010 13:06,12.75,14911.0,EIRE
12435,537378,21363,HOME SMALL WOOD LETTERS,3,12/6/2010 13:06,4.95,14911.0,EIRE
12436,537378,22339,CHRISTMAS TREE PAINTED ZINC ,24,12/6/2010 13:06,0.65,14911.0,EIRE
12437,537378,22338,STAR DECORATION PAINTED ZINC ,24,12/6/2010 13:06,0.65,14911.0,EIRE
12438,537378,22336,DOVE DECORATION PAINTED ZINC ,24,12/6/2010 13:06,0.65,14911.0,EIRE
12439,537378,22571,ROCKING HORSE RED CHRISTMAS ,36,12/6/2010 13:06,0.85,14911.0,EIRE
12440,537378,22595,CHRISTMAS GINGHAM HEART,36,12/6/2010 13:06,0.85,14911.0,EIRE
12441,537378,22594,CHRISTMAS GINGHAM TREE,36,12/6/2010 13:06,0.85,14911.0,EIRE
12442,537378,22593,CHRISTMAS GINGHAM STAR,36,12/6/2010 13:06,0.85,14911.0,EIRE
12443,537378,22576,SWALLOW WOODEN CHRISTMAS DECORATION,36,12/6/2010 13:06,0.85,14911.0,EIRE
12444,537378,22574,HEART WOODEN CHRISTMAS DECORATION,36,12/6/2010 13:06,0.85,14911.0,EIRE
12445,537378,22573,STAR WOODEN CHRISTMAS DECORATION,36,12/6/2010 13:06,0.85,14911.0,EIRE
12446,537378,22082,RIBBON REEL STRIPES DESIGN ,20,12/6/2010 13:06,1.65,14911.0,EIRE
12447,537378,21754,HOME BUILDING BLOCK WORD,8,12/6/2010 13:06,5.95,14911.0,EIRE
12448,537378,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,72,12/6/2010 13:06,0.85,14911.0,EIRE
12449,537378,22119,PEACE WOODEN BLOCK LETTERS,6,12/6/2010 13:06,6.95,14911.0,EIRE
12450,537378,22627,MINT KITCHEN SCALES,6,12/6/2010 13:06,8.5,14911.0,EIRE
12451,537378,22699,ROSES REGENCY TEACUP AND SAUCER ,12,12/6/2010 13:06,2.95,14911.0,EIRE
12452,537378,C2,CARRIAGE,1,12/6/2010 13:06,50.0,14911.0,EIRE
12559,537386,22119,PEACE WOODEN BLOCK LETTERS,3,12/6/2010 13:32,6.95,14911.0,EIRE
20095,538009,22112,CHOCOLATE HOT WATER BOTTLE,6,12/9/2010 12:17,4.95,14911.0,EIRE
20096,538009,22835,HOT WATER BOTTLE I AM SO POORLY,4,12/9/2010 12:17,4.65,14911.0,EIRE
20097,538009,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,12/9/2010 12:17,3.95,14911.0,EIRE
20098,538009,22769,CHALKBOARD KITCHEN ORGANISER,4,12/9/2010 12:17,21.95,14911.0,EIRE
20099,538009,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,12/9/2010 12:17,7.95,14911.0,EIRE
20100,538009,48188,DOORMAT WELCOME PUPPIES,2,12/9/2010 12:17,7.95,14911.0,EIRE
20101,538009,22788,BROCANTE COAT RACK,2,12/9/2010 12:17,9.95,14911.0,EIRE
20102,538009,21181,PLEASE ONE PERSON METAL SIGN,12,12/9/2010 12:17,2.1,14911.0,EIRE
20103,538009,21843,RED RETROSPOT CAKE STAND,6,12/9/2010 12:17,10.95,14911.0,EIRE
20104,538009,22423,REGENCY CAKESTAND 3 TIER,16,12/9/2010 12:17,10.95,14911.0,EIRE
20105,538009,22283,6 EGG HOUSE PAINTED WOOD,2,12/9/2010 12:17,7.95,14911.0,EIRE
20106,538009,21469,POLKA DOT RAFFIA FOOD COVER,6,12/9/2010 12:17,3.75,14911.0,EIRE
20107,538009,22846,BREAD BIN DINER STYLE RED ,2,12/9/2010 12:17,16.95,14911.0,EIRE
20108,538009,21155,RED RETROSPOT PEG BAG,6,12/9/2010 12:17,2.1,14911.0,EIRE
