,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
34083,539318,84992,72 SWEETHEART FAIRY CAKE CASES,72,12/16/2010 19:09,0.55,12348.0,Finland
34084,539318,22951,60 CAKE CASES DOLLY GIRL DESIGN,72,12/16/2010 19:09,0.55,12348.0,Finland
34085,539318,84991,60 TEATIME FAIRY CAKE CASES,24,12/16/2010 19:09,0.55,12348.0,Finland
34086,539318,84991,60 TEATIME FAIRY CAKE CASES,120,12/16/2010 19:09,0.42,12348.0,Finland
34087,539318,21213,PACK OF 72 SKULL CAKE CASES,24,12/16/2010 19:09,0.55,12348.0,Finland
34088,539318,21213,PACK OF 72 SKULL CAKE CASES,120,12/16/2010 19:09,0.42,12348.0,Finland
34089,539318,22616,PACK OF 12 LONDON TISSUES ,72,12/16/2010 19:09,0.29,12348.0,Finland
34090,539318,21981,PACK OF 12 WOODLAND TISSUES ,144,12/16/2010 19:09,0.29,12348.0,Finland
34091,539318,21982,PACK OF 12 SUKI TISSUES ,144,12/16/2010 19:09,0.29,12348.0,Finland
34092,539318,21725,SWEETIES  STICKERS,48,12/16/2010 19:09,0.85,12348.0,Finland
34093,539318,21211,SET OF 72 SKULL PAPER  DOILIES,72,12/16/2010 19:09,1.45,12348.0,Finland
34094,539318,84988,SET OF 72 PINK HEART PAPER DOILIES,48,12/16/2010 19:09,1.45,12348.0,Finland
34095,539318,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/16/2010 19:09,0.55,12348.0,Finland
34096,539318,22952,60 CAKE CASES VINTAGE CHRISTMAS,120,12/16/2010 19:09,0.42,12348.0,Finland
34097,539318,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/16/2010 19:09,0.55,12348.0,Finland
34098,539318,21977,PACK OF 60 PINK PAISLEY CAKE CASES,120,12/16/2010 19:09,0.42,12348.0,Finland
34099,539318,POST,POSTAGE,6,12/16/2010 19:09,40.0,12348.0,Finland
66152,541756,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,48,1/21/2011 11:42,3.75,12664.0,Finland
66153,541756,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,72,1/21/2011 11:42,3.39,12664.0,Finland
66154,541756,POST,POSTAGE,2,1/21/2011 11:42,40.0,12664.0,Finland
66155,541756,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,1/21/2011 11:42,3.75,12664.0,Finland
66156,541756,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,36,1/21/2011 11:42,3.75,12664.0,Finland
70051,541998,21980,PACK OF 12 RED RETROSPOT TISSUES ,144,1/25/2011 10:42,0.29,12348.0,Finland
70052,541998,21985,PACK OF 12 HEARTS DESIGN TISSUES ,144,1/25/2011 10:42,0.29,12348.0,Finland
70053,541998,21726,MULTI HEARTS  STICKERS,24,1/25/2011 10:42,0.85,12348.0,Finland
70054,541998,21983,PACK OF 12 BLUE PAISLEY TISSUES ,144,1/25/2011 10:42,0.29,12348.0,Finland
70055,541998,21967,PACK OF 12 SKULL TISSUES,144,1/25/2011 10:42,0.29,12348.0,Finland
70056,541998,POST,POSTAGE,1,1/25/2011 10:42,40.0,12348.0,Finland
100897,544886,21238,RED RETROSPOT CUP,16,2/24/2011 11:42,0.85,12582.0,Finland
100898,544886,21239,PINK  POLKADOT CUP,16,2/24/2011 11:42,0.85,12582.0,Finland
100899,544886,21240,BLUE POLKADOT CUP,16,2/24/2011 11:42,0.85,12582.0,Finland
100900,544886,21242,RED RETROSPOT PLATE ,8,2/24/2011 11:42,1.69,12582.0,Finland
100901,544886,21243,PINK  POLKADOT PLATE ,8,2/24/2011 11:42,1.69,12582.0,Finland
100902,544886,21244,BLUE POLKADOT PLATE ,8,2/24/2011 11:42,1.69,12582.0,Finland
100903,544886,20675,BLUE POLKADOT BOWL,8,2/24/2011 11:42,1.25,12582.0,Finland
100904,544886,20676,RED RETROSPOT BOWL,8,2/24/2011 11:42,1.25,12582.0,Finland
100905,544886,20677,PINK POLKADOT BOWL,16,2/24/2011 11:42,1.25,12582.0,Finland
100906,544886,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2/24/2011 11:42,0.55,12582.0,Finland
100907,544886,22467,GUMBALL COAT RACK,12,2/24/2011 11:42,2.55,12582.0,Finland
100908,544886,POST,POSTAGE,1,2/24/2011 11:42,40.0,12582.0,Finland
105404,545226,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,3/1/2011 9:33,2.25,12428.0,Finland
105405,545226,21002,ROSE DU SUD DRAWSTRING BAG,3,3/1/2011 9:33,4.25,12428.0,Finland
105406,545226,47599B,BLUE PARTY BAGS ,12,3/1/2011 9:33,2.1,12428.0,Finland
105407,545226,22279,POCKET BAG BLUE PAISLEY RED SPOT,12,3/1/2011 9:33,1.25,12428.0,Finland
105408,545226,21039,RED RETROSPOT SHOPPING BAG,6,3/1/2011 9:33,2.55,12428.0,Finland
105409,545226,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,3/1/2011 9:33,1.95,12428.0,Finland
105410,545226,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,3/1/2011 9:33,1.95,12428.0,Finland
105411,545226,22386,JUMBO BAG PINK POLKADOT,10,3/1/2011 9:33,1.95,12428.0,Finland
105412,545226,85099B,JUMBO BAG RED RETROSPOT,10,3/1/2011 9:33,1.95,12428.0,Finland
105413,545226,20750,RED RETROSPOT MINI CASES,6,3/1/2011 9:33,7.95,12428.0,Finland
105414,545226,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,4,3/1/2011 9:33,4.95,12428.0,Finland
